bruce_id,timestamp,transaction_id,merchant_id,hit_rules,rules_decision,override,engine_decision,final_decision,is_fraud_x,is_fraud_y,learning_label,B_listed,W_listed,rel_rules,h2o_score,bayesia_score,ml_label,sherlock_decision
27312663,2016-12-14 09:54:58,af36ea27-48c1-4414-a9ff-0216531f1167,M098322,,,,accept,settlement,0,0,0,0,0,0,0.82,0.01,0,accept
27317109,2016-12-14 10:16:42,aa0271bb-a298-4c9b-90d8-aaeaabc6a9be,M098322,,,,accept,deny,0,5,2,0,0,0,149.28,102.72,0,accept
27325551,2016-12-14 11:00:17,edc3b72c-d28f-4300-8c9e-3e413143f07a,M098322,,,,accept,settlement,0,0,0,0,0,0,1.17,0.01,0,accept
27326262,2016-12-14 11:03:52,e1a44191-36d0-43f6-8e63-7d545c084d12,M098322,,,,accept,settlement,2,0,2,0,0,0,2.49,0.01,0,accept
27328527,2016-12-14 11:16:08,a22f27e6-b2f3-4270-bd0e-00da353cad8a,M098322,,,,accept,settlement,0,0,0,0,0,0,2.09,0.01,0,accept
27328785,2016-12-14 11:17:29,6526d767-dacc-4136-8754-715f8968dd09,M098322,,,,accept,settlement,0,0,0,0,0,0,13.82,45.93,0,accept
27334983,2016-12-14 11:54:49,b620ca70-ec57-4506-b8c6-24c4f53e36d5,M098322,,,,accept,settlement,0,0,0,0,0,0,9.8,0.18,0,accept
27339252,2016-12-14 12:21:37,04374638-227a-45fe-9570-890cc6a4d981,M098322,,,,accept,settlement,0,0,0,0,0,0,0.47,0.01,0,accept
27339834,2016-12-14 12:25:19,7fb3fbe9-0f21-4856-9c19-db7d070eb115,M098322,,,,accept,settlement,0,0,0,0,0,0,1.11,0.56,0,accept
27346890,2016-12-14 13:09:36,0f2a11cc-4f41-4510-a534-3f572fdd9628,M098322,,,,accept,settlement,0,0,0,0,0,0,2.0,0.0,0,accept
27347715,2016-12-14 13:14:42,8c784904-1eaf-4e40-9107-c76261b831a6,M098322,,,,accept,settlement,0,0,0,0,0,0,1.14,250.16,0,accept
27348180,2016-12-14 13:17:23,3dc892aa-1d3b-47dc-b300-a30d006dc6a5,M098322,,,,accept,settlement,0,0,0,0,0,0,13.99,999.49,0,accept
27348474,2016-12-14 13:19:17,e312acd8-d2d1-4ba1-8dc0-52c0643e82a6,M098322,,,,accept,settlement,0,0,0,0,0,0,0.68,0.0,0,accept
27348672,2016-12-14 13:20:43,350ed0ec-a65f-4a02-91b5-419cbd41ff30,M098322,,,,accept,settlement,0,0,0,0,0,0,0.78,708.99,0,accept
27348987,2016-12-14 13:22:42,fe7af2ca-77be-4333-aff6-14b2916a209f,M098322,,,,accept,settlement,0,0,0,0,0,0,10.42,0.0,0,accept
27350826,2016-12-14 13:35:17,09f13740-59ca-4930-aa47-f1dc9d0acee3,M098322,,,,accept,settlement,0,0,0,0,0,0,2.58,0.22,0,accept
